0;Hisense 65E7HQ 2022 QLED;65;3840x2160;59980;QLED;
1;Samsung C24F390FHI;23.5;1920x1080;11440;4;
1;AOC AGON PRO AG324UX;31.5;3840x2160;79500;1;
0;FUSION FLTV-32A210;32;1366x768;9470;LED;
0;Xiaomi Mi LED TV P1 32 (L32M6-6ARG);32;1366x768;25344;LED;
0;LG OLED65A2RLA 2022 OLED;65;3840x2160;157690;OLED;
1;LG 27GN850-B;27;2560x1440;61470;1;
